provincia,day,prediccion_precip,predicted_date
Pontevedra,6,1,2025-03-03
Pontevedra,7,1,2025-03-04
Salamanca,1,0,2025-02-26
Salamanca,2,0,2025-02-27
Salamanca,3,0,2025-02-28
Salamanca,4,0,2025-03-01
Salamanca,5,0,2025-03-02
Salamanca,6,1,2025-03-03
Salamanca,7,0,2025-03-04
Santa Cruz de Tenerife,1,1,2025-02-26
Santa Cruz de Tenerife,2,1,2025-02-27
Santa Cruz de Tenerife,3,1,2025-02-28
Santa Cruz de Tenerife,4,0,2025-03-01
Santa Cruz de Tenerife,5,0,2025-03-02
Santa Cruz de Tenerife,6,1,2025-03-03
Santa Cruz de Tenerife,7,1,2025-03-04
Segovia,1,0,2025-02-26
Segovia,2,1,2025-02-27
Segovia,3,1,2025-02-28
Segovia,4,1,2025-03-01
Segovia,5,0,2025-03-02
Segovia,6,1,2025-03-03
Segovia,7,1,2025-03-04
Sevilla,1,0,2025-02-26
Sevilla,2,0,2025-02-27
Sevilla,3,0,2025-02-28
Sevilla,4,0,2025-03-01
Sevilla,5,0,2025-03-02
Sevilla,6,0,2025-03-03
Sevilla,7,0,2025-03-04
Soria,1,0,2025-02-26
Soria,2,0,2025-02-27
Soria,3,1,2025-02-28
Soria,4,0,2025-03-01
Soria,5,1,2025-03-02
Soria,6,1,2025-03-03
Soria,7,1,2025-03-04
Tarragona,1,0,2025-02-26
Tarragona,2,1,2025-02-27
Tarragona,3,0,2025-02-28
Tarragona,4,0,2025-03-01
Tarragona,5,0,2025-03-02
Tarragona,6,0,2025-03-03
Tarragona,7,1,2025-03-04
Teruel,1,0,2025-02-26
Teruel,2,0,2025-02-27
Teruel,3,0,2025-02-28
Teruel,4,0,2025-03-01
Teruel,5,0,2025-03-02
Teruel,6,1,2025-03-03
Teruel,7,0,2025-03-04
Toledo,1,0,2025-02-26
Toledo,2,1,2025-02-27
Toledo,3,1,2025-02-28
Toledo,4,1,2025-03-01
Toledo,5,0,2025-03-02
Toledo,6,0,2025-03-03
Toledo,7,1,2025-03-04
Valencia,1,0,2025-02-26
Valencia,2,0,2025-02-27
Valencia,3,0,2025-02-28
Valencia,4,0,2025-03-01
Valencia,5,0,2025-03-02
Valencia,6,0,2025-03-03
Valencia,7,0,2025-03-04
Valladolid,1,0,2025-02-26
