provincia,day,predicted_date,prediccion_temp_max,prediccion_temp_min
Ciudad Real,7,2025-03-03,12.881193758718382,6.673849128515242
Cuenca,1,2025-02-26,5.147540389880578,2.1989195813793314
Cuenca,2,2025-02-27,8.121221038629422,2.3541259623096455
Cuenca,3,2025-02-28,7.841654554297789,2.674230155605036
Cuenca,4,2025-03-01,8.95120497337942,3.0862141335752242
Cuenca,5,2025-03-02,11.246997513823171,3.3186587661425055
Cuenca,6,2025-03-03,11.621400625687402,3.7736174069539543
Cuenca,7,2025-03-04,13.501840834870915,3.538182254527783
Cáceres,1,2025-02-25,9.378487830581243,6.5243338051864335
Cáceres,2,2025-02-26,9.401754024444827,5.986889053152409
Cáceres,3,2025-02-27,9.212820462417383,5.806125181642414
Cáceres,4,2025-02-28,9.253680267234701,5.243555417227805
Cáceres,5,2025-03-01,11.569226406630198,4.9828357675429436
